@RELATION dummy2

@ATTRIBUTE id string
@ATTRIBUTE created numeric
@ATTRIBUTE downvotes numeric
@ATTRIBUTE upvotes numeric
@ATTRIBUTE latitude numeric
@ATTRIBUTE longitude numeric
@ATTRIBUTE pokemonId numeric
@ATTRIBUTE trainerName string
@ATTRIBUTE userId string
@ATTRIBUTE deviceId string
@ATTRIBUTE class {+1,-1}

@DATA
BkwQRcOKF,1470888433,0,1,48.8642484129,2.3580800186,21,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
S1NQC9_tY,1470888373,0,1,48.8489436833,2.3486419305,19,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
ryy05_Ft,1470888092,0,1,45.7527386068,4.8289285348,10,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
rkMOC5dtK,1470888220,0,1,48.7817789545,9.1840171238,41,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
H1XHIduKt,1470887787,0,1,48.8574849246,2.2954524751,23,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
ByU8dOYF,1470887830,0,1,48.8558759123,2.2972522738,13,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
rkMGWt_KK,1470887935,0,1,45.7715655051,4.8505607845,13,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
B1PVYOYF,1470887905,0,1,48.8927686534,2.390982037,13,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
BkqhtuFF,1470888058,0,1,45.4710140889,9.1759159743,15,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
HJWqnYOYF,1470887913,0,1,45.4727130285,9.1760100142,4,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
Sy75nKuKt,1470887827,0,1,45.4688118409,9.1792983464,16,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
BJHSCKOFF,1470888397,0,1,48.666171,2.556022,16,(Anonymous),16194579,pp339ippc4qp740m661idp4p6h4hh9ex,-1
r1luRYuYK,1470888025,0,1,48.8388113182,2.4907386588,58,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
r1e8Ec_Ft,1470887834,0,1,45.7710258553,3.0861814868,41,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
r1VI89dKF,1470888042,0,1,48.8222017517,2.3373074849,127,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
SJdbA5dYt,1470887813,0,1,48.9302485892,2.3565276482,13,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
Hyl-Cq_FK,1470888071,0,1,48.9295480524,2.3561172228,114,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
Bk8bRquFF,1470887849,0,1,48.9314453976,2.3634964022,13,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
H1lGR9OFt,1470887982,0,1,48.8633105423,2.3384126343,41,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
B1-CTqOFY,1470888421,0,1,45.7525982761,4.8287372435,20,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
SyvGC9uYF,1470888169,0,1,48.8527499896,2.3432493734,16,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
SJVfC5_Ft,1470887882,0,1,48.856572,2.342699,19,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
SJrzR5dKF,1470888116,0,1,48.8538458276,2.3435154928,19,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
SJzAcdtK,1470888144,0,1,48.8535095463,2.3368148383,19,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
S1bNCquFK,1470887908,0,1,48.8629934747,2.3732662685,116,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
rJ-QAq_KF,1470888017,0,1,48.8600195815,2.3609792533,133,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
HJ4R9dYY,1470888091,0,1,48.864410803,2.3732090399,13,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
ryMwR5_Ft,1470888163,0,1,48.8814369742,2.2537733721,41,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
H1Q09_KF,1470888130,0,1,48.8629612394,2.3440050178,120,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
r1g7AcdFt,1470888251,0,1,48.83406924,2.3453049333,21,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
r1eFd_FK,1470887870,0,1,50.0833608328,8.2403183768,41,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
H1ZEYOtK,1470888105,0,1,48.8750376434,2.3382371999,16,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
By-WEFdFt,1470887789,0,1,48.8852284498,2.3440874148,96,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
Hyx6mKdFF,1470887794,0,1,45.4447206365,8.6185695642,120,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
rkMDvY_FY,1470887795,0,1,48.8520257983,2.3517949894,116,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
rkmwPKuYK,1470888003,0,1,48.8494217212,2.3444670497,16,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
rkHdPFOtY,1470887901,0,1,48.861454947,2.3484480333,121,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
ryKPvt_tY,1470887976,0,1,48.8557216609,2.3441095078,16,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
SJwwDYuKF,1470887887,0,1,48.8561587519,2.3419502628,129,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
Hka_DKdFK,1470888181,0,1,48.9403255713,2.3529608094,54,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
Hk7lptuYF,1470888062,0,1,48.8482812835,2.3073385894,19,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
H1ugTYuKt,1470887816,0,1,48.8496296269,2.314642509,19,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
